LC,product,sr_level,temp,category,sub_category,off_on_ratio
0,0,7.919102762541582,hot,3,10,0.974062820158166
1,0,3.7646172424206648,hot,3,10,0.8473828805251916
2,0,4.647912670423657,hot,3,10,0.9097295490319126
3,0,6.001040167608468,hot,3,10,0.8644069179245255
4,0,4.49487118123447,hot,3,10,1.0506318051366863
5,0,5.018669677701173,hot,3,10,0.9437449047121577
6,0,4.018230910723544,hot,3,10,0.7781008833632423
8,0,2.522334930569417,hot,3,10,0.7236281463923631
9,0,4.4517348043620455,hot,3,10,0.8949460840961163
10,0,1.9708044671756726,hot,3,10,0.7913670870973272
11,0,5.302938846946428,hot,3,10,1.0008207817232866
12,0,9.134231845488994,hot,3,10,0.9096255521251709
13,0,2.6001538943182907,hot,3,10,0.9124223629251337
14,0,4.5487324492097,hot,3,10,0.9121026527343858
15,0,5.66898501139772,hot,3,10,0.6564167996127837
16,0,3.6674768309634413,hot,3,10,1.0442166698800366
0,1,81.54202470770186,cold,1,8,1.358139336074748
1,1,99.71654470882196,cold,1,8,1.269787791460089
2,1,74.99214589046498,cold,1,8,1.2449714997441856
3,1,95.84862526243889,cold,1,8,1.2395337559304511
4,1,97.90821810218385,cold,1,8,1.2510463323314895
5,1,74.96455783017856,cold,1,8,1.2828840767283973
6,1,78.88014537675625,cold,1,8,1.254415967071937
7,1,80.10420946061635,cold,1,8,1.2231137067774718
8,1,94.64760913145129,cold,1,8,1.2447142426436846
9,1,105.6255969376249,cold,1,8,1.2490818464341416
10,1,79.46218017116301,cold,1,8,1.220288814787269
11,1,89.03162855792517,cold,1,8,1.295140368796954
12,1,81.86058088366163,cold,1,8,1.3711176110971774
13,1,84.28687234793497,cold,1,8,1.1845364219994103
14,1,86.92265183537542,cold,1,8,1.1693782096225542
15,1,68.92417599663061,cold,1,8,1.253080524079899
16,1,98.8275935105183,cold,1,8,1.2757278626933057
0,2,19.418139751741577,hot,2,0,1.2014641577040626
1,2,26.717423750256767,hot,2,0,1.2328157832913027
2,2,20.857859752058935,hot,2,0,1.1461572860033018
3,2,19.59041993541074,hot,2,0,1.2939648214253563
4,2,21.52251372785976,hot,2,0,1.248497541891167
5,2,19.836695771265767,hot,2,0,1.1982182883940893
6,2,23.776078777191845,hot,2,0,1.2038280345310963
7,2,69.49326278463641,hot,2,0,1.136561844331154
8,2,24.462251842421,hot,2,0,1.1705921144054439
9,2,18.993568777030365,hot,2,0,1.189055862057774
10,2,20.377218730317033,hot,2,0,1.0792299220400072
11,2,22.716193207611713,hot,2,0,1.1639590365228352
12,2,14.606787362595663,hot,2,0,1.1918102419185337
13,2,38.666801004862464,hot,2,0,1.1990652712686083
14,2,36.41341793707473,hot,2,0,1.1819567341427166
15,2,21.779662586394295,hot,2,0,1.1398089812231496
16,2,29.2833774064764,hot,2,0,1.219352256362623
0,3,19.226212935409077,hot,2,4,0.939779693201402
1,3,15.926898976313804,hot,2,4,0.8897686473995752
2,3,17.523602302039112,hot,2,4,0.8542733711392172
3,3,23.467926430858995,hot,2,4,0.8356584267462457
4,3,13.987499175854206,hot,2,4,0.9663900967162836
5,3,29.923083910473363,hot,2,4,0.8544154358636775
6,3,18.816214692473455,hot,2,4,0.7881798039427991
8,3,16.62913054072918,hot,2,4,0.7542986443531354
9,3,16.826399801010396,hot,2,4,0.8493400780633984
10,3,12.986156691061032,hot,2,4,0.7706015697188333
11,3,16.473357592604415,hot,2,4,0.949608957415317
12,3,22.723858320069386,hot,2,4,0.9099938977406075
13,3,16.774743048123693,hot,2,4,0.8259678368393181
14,3,12.189274152137472,hot,2,4,0.8107613389177416
15,3,16.78951536947962,hot,2,4,0.7127156323488705
16,3,10.340016366694478,hot,2,4,0.950571468067465
0,4,0.43059835998602364,cold,1,3,1.4480856642169095
1,4,0.3991119532827095,cold,1,3,1.1835711853532551
2,4,0.24494871911726837,cold,1,3,1.120588472071268
3,4,0.4918101902307996,cold,1,3,0.9638060857100978
4,4,0.5490843157649505,cold,1,3,1.0453236605672593
5,4,0.7150077162148442,cold,1,3,0.9317364847615106
6,4,0.479576800272978,cold,1,3,1.1454327261676163
7,4,0.9245715699527359,cold,1,3,0.8042296592992557
8,4,0.46529080383084687,cold,1,3,0.9659559586726789
9,4,0.43129581300650816,cold,1,3,1.2852767584987814
10,4,0.3083666219906529,cold,1,3,0.9260764219458861
11,4,1.0058222090218523,cold,1,3,1.0922646915113507
