week_begin,week_end,week_of_year,is_cny,week_from_cny,dayOff
2015-01-05,2015-01-11,2,0,0,2
2015-01-12,2015-01-18,3,0,0,2
2015-01-19,2015-01-25,4,0,0,2
2015-01-26,2015-02-01,5,0,1,2
2015-02-02,2015-02-08,6,0,2,2
2015-02-09,2015-02-15,7,0,3,1
2015-02-16,2015-02-22,8,1,4,5
2015-02-23,2015-03-01,9,0,3,3
2015-03-02,2015-03-08,10,0,2,2
2015-03-09,2015-03-15,11,0,1,2
2015-03-16,2015-03-22,12,0,0,2
2015-03-23,2015-03-29,13,0,0,2
2015-03-30,2015-04-05,14,0,0,2
2015-04-06,2015-04-12,15,0,0,3
2015-04-13,2015-04-19,16,0,0,2
2015-04-20,2015-04-26,17,0,0,2
2015-04-27,2015-05-03,18,0,0,3
2015-05-04,2015-05-10,19,0,0,2
2015-05-11,2015-05-17,20,0,0,2
2015-05-18,2015-05-24,21,0,0,2
2015-05-25,2015-05-31,22,0,0,2
2015-06-01,2015-06-07,23,0,0,2
2015-06-08,2015-06-14,24,0,0,2
2015-06-15,2015-06-21,25,0,0,2
2015-06-22,2015-06-28,26,0,0,3
2015-06-29,2015-07-05,27,0,0,2
2015-07-06,2015-07-12,28,0,0,2
2015-07-13,2015-07-19,29,0,0,2
2015-07-20,2015-07-26,30,0,0,2
2015-07-27,2015-08-02,31,0,0,2
2015-08-03,2015-08-09,32,0,0,2
2015-08-10,2015-08-16,33,0,0,2
2015-08-17,2015-08-23,34,0,0,2
2015-08-24,2015-08-30,35,0,0,2
2015-08-31,2015-09-06,36,0,0,3
2015-09-07,2015-09-13,37,0,0,2
2015-09-14,2015-09-20,38,0,0,2
2015-09-21,2015-09-27,39,0,0,2
2015-09-28,2015-10-04,40,0,0,4
2015-10-05,2015-10-11,41,0,0,4
2015-10-12,2015-10-18,42,0,0,2
2015-10-19,2015-10-25,43,0,0,2
2015-10-26,2015-11-01,44,0,0,2
2015-11-02,2015-11-08,45,0,0,2
2015-11-09,2015-11-15,46,0,0,2
2015-11-16,2015-11-22,47,0,0,2
2015-11-23,2015-11-29,48,0,0,2
2015-11-30,2015-12-06,49,0,0,2
2015-12-07,2015-12-13,50,0,0,2
2015-12-14,2015-12-20,51,0,0,2
2015-12-21,2015-12-27,52,0,0,2
2015-12-28,2016-01-03,1,0,0,3
2016-01-04,2016-01-10,2,0,0,2
2016-01-11,2016-01-17,3,0,1,2
2016-01-18,2016-01-24,4,0,2,2
2016-01-25,2016-01-31,5,0,3,2
2016-02-01,2016-02-07,6,1,4,1
2016-02-08,2016-02-14,7,0,3,6
2016-02-15,2016-02-21,8,0,2,2
2016-02-22,2016-02-28,9,0,1,2
2016-02-29,2016-03-06,10,0,0,2
2016-03-07,2016-03-13,11,0,0,2
2016-03-14,2016-03-20,12,0,0,2
2016-03-21,2016-03-27,13,0,0,2
2016-03-28,2016-04-03,14,0,0,2
2016-04-04,2016-04-10,15,0,0,3
2016-04-11,2016-04-17,16,0,0,2
2016-04-18,2016-04-24,17,0,0,2
2016-04-25,2016-05-01,18,0,0,2
2016-05-02,2016-05-08,19,0,0,3
2016-05-09,2016-05-15,20,0,0,2
2016-05-16,2016-05-22,21,0,0,2
2016-05-23,2016-05-29,22,0,0,2
2016-05-30,2016-06-05,23,0,0,2
2016-06-06,2016-06-12,24,0,0,3
2016-06-13,2016-06-19,25,0,0,2
2016-06-20,2016-06-26,26,0,0,2
2016-06-27,2016-07-03,27,0,0,2
2016-07-04,2016-07-10,28,0,0,2
2016-07-11,2016-07-17,29,0,0,2
2016-07-18,2016-07-24,30,0,0,2
2016-07-25,2016-07-31,31,0,0,2
2016-08-01,2016-08-07,32,0,0,2
2016-08-08,2016-08-14,33,0,0,2
2016-08-15,2016-08-21,34,0,0,2
2016-08-22,2016-08-28,35,0,0,2
2016-08-29,2016-09-04,36,0,0,2
2016-09-05,2016-09-11,37,0,0,2
2016-09-12,2016-09-18,38,0,0,3
2016-09-19,2016-09-25,39,0,0,2
2016-09-26,2016-10-02,40,0,0,2
2016-10-03,2016-10-09,41,0,0,5
2016-10-10,2016-10-16,42,0,0,2
2016-10-17,2016-10-23,43,0,0,2
2016-10-24,2016-10-30,44,0,0,2
2016-10-31,2016-11-06,45,0,0,2
2016-11-07,2016-11-13,46,0,0,2
2016-11-14,2016-11-20,47,0,0,2
2016-11-21,2016-11-27,48,0,0,2
2016-11-28,2016-12-04,49,0,0,2
2016-12-05,2016-12-11,50,0,0,2
2016-12-12,2016-12-18,51,0,0,2
2016-12-19,2016-12-25,52,0,0,2
2016-12-26,2017-01-01,1,0,0,2
2017-01-02,2017-01-08,2,0,1,3
2017-01-09,2017-01-15,3,0,2,2
2017-01-16,2017-01-22,4,0,3,1
2017-01-23,2017-01-29,5,1,4,3
2017-01-30,2017-02-05,6,0,3,5
2017-02-06,2017-02-12,7,0,2,2
2017-02-13,2017-02-19,8,0,1,2
2017-02-20,2017-02-26,9,0,0,2
2017-02-27,2017-03-05,10,0,0,2
2017-03-06,2017-03-12,11,0,0,2
2017-03-13,2017-03-19,12,0,0,2
2017-03-20,2017-03-26,13,0,0,2
2017-03-27,2017-04-02,14,0,0,1
2017-04-03,2017-04-09,15,0,0,4
2017-04-10,2017-04-16,16,0,0,2
2017-04-17,2017-04-23,17,0,0,2
2017-04-24,2017-04-30,18,0,0,2
2017-05-01,2017-05-07,19,0,0,3
2017-05-08,2017-05-14,20,0,0,2
2017-05-15,2017-05-21,21,0,0,2
2017-05-22,2017-05-28,22,0,0,1
2017-05-29,2017-06-04,23,0,0,4
2017-06-05,2017-06-11,24,0,0,2
2017-06-12,2017-06-18,25,0,0,2
2017-06-19,2017-06-25,26,0,0,2
2017-06-26,2017-07-02,27,0,0,2
2017-07-03,2017-07-09,28,0,0,2
2017-07-10,2017-07-16,29,0,0,2
2017-07-17,2017-07-23,30,0,0,2
2017-07-24,2017-07-30,31,0,0,2
2017-07-31,2017-08-06,32,0,0,2
2017-08-07,2017-08-13,33,0,0,2
2017-08-14,2017-08-20,34,0,0,2
2017-08-21,2017-08-27,35,0,0,2
2017-08-28,2017-09-03,36,0,0,2
2017-09-04,2017-09-10,37,0,0,2
2017-09-11,2017-09-17,38,0,0,2
2017-09-18,2017-09-24,39,0,0,2
2017-09-25,2017-10-01,40,0,0,1
2017-10-02,2017-10-08,41,0,0,7
2017-10-09,2017-10-15,42,0,0,2
2017-10-16,2017-10-22,43,0,0,2
2017-10-23,2017-10-29,44,0,0,2
2017-10-30,2017-11-05,45,0,0,2
2017-11-06,2017-11-12,46,0,0,2
2017-11-13,2017-11-19,47,0,0,2
2017-11-20,2017-11-26,48,0,0,2
2017-11-27,2017-12-03,49,0,0,2
2017-12-04,2017-12-10,50,0,0,2
2017-12-11,2017-12-17,51,0,0,2
2017-12-18,2017-12-24,52,0,0,2
2017-12-25,2017-12-31,53,0,0,2
